image,true_class,predicted_class,confidence,correct,prob_No DR,prob_Mild,prob_Moderate,prob_Severe,prob_Proliferative DR,original_path,heatmap_path,overlay_path
sample_002.png,Mild,Moderate,0.695821,False,0.003596,0.297314,0.695821,0.001031,0.002238,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Mild\sample_002_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Mild\sample_002_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Mild\sample_002_overlay.png
sample_009.png,Mild,No DR,0.770845,False,0.770845,0.194255,0.034104,0.000074,0.000721,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Mild\sample_009_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Mild\sample_009_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Mild\sample_009_overlay.png
sample_011.png,Moderate,Mild,0.592749,False,0.000296,0.592749,0.403350,0.000168,0.003436,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Moderate\sample_011_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Moderate\sample_011_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Moderate\sample_011_overlay.png
sample_019.png,Moderate,Severe,0.502283,False,0.000016,0.000769,0.335829,0.502283,0.161103,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Moderate\sample_019_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Moderate\sample_019_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Moderate\sample_019_overlay.png
sample_021.png,No DR,Mild,0.69433,False,0.223904,0.694330,0.079057,0.000200,0.002509,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\No_DR\sample_021_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\No_DR\sample_021_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\No_DR\sample_021_overlay.png
sample_031.png,Proliferative DR,Mild,0.576398,False,0.008803,0.576398,0.402534,0.000725,0.011541,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_031_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_031_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_031_overlay.png
sample_032.png,Proliferative DR,Moderate,0.456008,False,0.000121,0.069747,0.456008,0.312007,0.162117,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_032_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_032_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_032_overlay.png
sample_033.png,Proliferative DR,Moderate,0.541676,False,0.000377,0.406932,0.541676,0.001171,0.049843,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_033_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_033_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_033_overlay.png
sample_034.png,Proliferative DR,Severe,0.960141,False,0.000000,0.000561,0.012340,0.960141,0.026958,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_034_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_034_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_034_overlay.png
sample_038.png,Proliferative DR,Moderate,0.500907,False,0.001592,0.210916,0.500907,0.043086,0.243500,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_038_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_038_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Proliferate_DR\sample_038_overlay.png
sample_042.png,Severe,Moderate,0.491379,False,0.000100,0.029009,0.491379,0.281979,0.197532,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Severe\sample_042_original.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Severe\sample_042_heatmap.png,C:\Users\acer\Documents\GitHub\medical-ai-platform\modules\diabetic_retinopathy\artifacts\explainability\gradcam\Severe\sample_042_overlay.png
